IDX	SOURCE	TOPDIR	BYTES	LINES	H2	CODE	RELPATH	TITLE
102	vault	ActiveDirectory	3513	83	5	3	ActiveDirectory/AD-Attack/Category-Six/🟣 Attack #49 — Abusing Backup Operators Group.md	🟣 Attack #49 — Abusing Backup Operators Group
103	vault	ActiveDirectory	2669	67	5	2	ActiveDirectory/AD-Attack/Category-Six/🟣 Attack #50 — Abusing Account Operators Group.md	🟣 Attack #50 — Abusing Account Operators Group
104	vault	ActiveDirectory	2251	62	5	2	ActiveDirectory/AD-Attack/Category-Six/🟣 Attack #51 — Abusing Server Operators Group.md	🟣 Attack #51 — Abusing Server Operators Group
105	vault	ActiveDirectory	1995	60	5	2	ActiveDirectory/AD-Attack/Category-Six/🟣 Attack #52 — Abusing Print Operators Group.md	🟣 Attack #52 — Abusing Print Operators Group
106	vault	ActiveDirectory	2864	74	5	3	ActiveDirectory/AD-Attack/Category-Six/🟣 Attack #53 — Exchange Windows Permissions (WriteDACL to DCSync).md	🟣 Attack #53 — Exchange Windows Permissions (WriteDACL → DCSync)
107	vault	ActiveDirectory	3531	75	5	3	ActiveDirectory/AD-Attack/Category-Ten/🔷 Attack #72 — LAPS Password Extraction.md	🔷 Attack #72 — LAPS Password Extraction
108	vault	ActiveDirectory	3509	75	5	3	ActiveDirectory/AD-Attack/Category-Ten/🔷 Attack #73 — gMSA Password Extraction.md	🔷 Attack #73 — gMSA Password Extraction
109	vault	ActiveDirectory	2577	70	5	3	ActiveDirectory/AD-Attack/Category-Ten/🔷 Attack #74 — Azure AD Connect Credential Extraction.md	🔷 Attack #74 — Azure AD Connect Credential Extraction
110	vault	ActiveDirectory	2896	73	5	3	ActiveDirectory/AD-Attack/Category-Ten/🔷 Attack #75 — SCCM MECM Exploitation.md	🔷 Attack #75 — SCCM / MECM Exploitation
111	vault	ActiveDirectory	4082	100	5	6	ActiveDirectory/AD-Attack/Category-Ten/🔷 Attack #76 — MSSQL Server and Linked Server Abuse.md	🔷 Attack #76 — MSSQL Server & Linked Server Abuse
